Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Vegetables, broccoli and cauliflower, frozen, boiled, drained",125mL,95,22,93,2,4,1,2.4,tr,,,33,0.5,20,152,14,38,27,34,,
"Vegetables, mixed (corn, lima beans, snap beans, peas, carrots), frozen, boiled, drained",125mL,96,63,262,3,13,3,2.8,tr,,,24,0.8,34,163,21,49,206,3,,
"Vegetables, peas and carrots, canned, not drained",125mL,135,51,214,3,11,,2.7,tr,,,31,1,350,135,19,62,389,9,,
"Zucchini, raw, slices",4,40,6,27,tr,1,1,0.4,tr,,,6,0.1,4,104,7,15,4,7,,
"Zucchini, sliced, boiled, drained",125mL,95,15,64,1,4,2,1.3,tr,,,12,0.3,3,241,21,38,53,4,,
VEGETABLE JUICES AND OTHER PRODUCTS,,,,,,,,,,,,,,,,,,,,,
Carrot juice,125mL,125,50,208,1,12,5,1,tr,,,30,0.6,36,364,17,52,966,11,,
"Coleslaw with dressing, homemade",125mL,63,44,183,1,8,,1,2,,,29,0.4,15,115,6,20,34,21,,
"Potato salad, homemade",125mL,132,205,858,4,14,3,1.4,15,,,28,0.7,579,276,17,66,57,17,,
Tomato clam cocktail,125mL,128,61,257,1,14,4,0.5,tr,,,10,0.2,462,114,6,14,9,6,,
Tomato juice,125mL,128,22,91,1,5,5,0.9,tr,,,13,0.6,345,294,14,23,30,10,,
"Tomato juice, without added salt",125mL,184,31,131,1,8,7,0.7,tr,,,18,0.8,18,421,20,33,42,34,,
"Tomato sauce for spaghetti, canned",125mL,132,143,600,2,21,,1.9,6,,,37,0.9,652,505,32,47,82,15,,
"Tomato sauce, canned",125mL,129,41,173,2,10,6,1.9,tr,,,17,1.3,678,428,21,34,22,8,,
Vegetable juice cocktail,125mL,128,24,101,1,6,4,0.7,tr,,,14,0.5,345,247,14,22,100,35,,
"Vegetable juice cocktail, low sodium",125mL,128,28,118,1,6,5,1,tr,,,14,0.5,89,247,14,22,66,35,,
,,,,,,,,,,,,,,,,,,,,,
MISCELLANEOUS FOODS,,,,,,,,,,,,,,,,,,,,,
CONDIMENTS,,,,,,,,,,,,,,,,,,,,,
"Bacon bits, simulated meat",15mL,7,34,141,2,2,0,,2,0.3,0,7,0.1,126,10,7,15,0,,,
Ketchup,15mL,15,15,64,tr,4,3,,tr,tr,0,3,0.1,169,57,3,5,7,,,
Mustard,15mL,16,11,44,1,1,tr,,1,tr,0,9,0.2,180,22,8,17,1,,,
"Olives, pickled, canned or bottled",4,16,23,97,tr,1,tr,,2,0.3,0,8,0.1,249,7,2,1,3,,,
"Olives, ripe, canned, jumbo",2,16,13,54,tr,1,0,,1,0.1,0,15,0.5,144,1,1,tr,3,,,
"Pickle relish, sweet",15mL,15,20,83,tr,5,2,,tr,tr,0,tr,0.1,123,4,1,2,1,,,
"Pickles, cucumber, dill",1 medium pickle,65,12,49,tr,3,1,,tr,tr,0,6,0.3,833,75,7,14,6,,,
"Pickles, cucumber, sweet, slices",4,28,33,137,tr,9,5,,tr,tr,0,1,0.2,263,9,1,3,3,,,
Salsa,15mL,17,5,19,tr,1,1,,tr,tr,0,5,0.1,100,50,3,5,3,,,
DIPS,,,,,,,,,,,,,,,,,,,,,
Cream cheese dip,30mL,30,108,451,2,1,tr,,11,5.8,28,23,0.3,176,39,2,28,92,,,
Onion dip,30mL,31,50,211,1,3,tr,,4,2.5,11,34,0.1,206,60,4,31,33,,,
Spinach dip,30mL,30,74,309,1,2,tr,,7,1.6,6,26,0.3,84,57,8,17,75,,,
GRAVIES AND SAUCES,,,,,,,,,,,,,,,,,,,,,
"Gravy, beef, canned",60mL,59,31,131,2,3,tr,,1,0.7,2,4,0.4,331,48,1,18,1,,,
"Gravy, beef, dehydrated, prepared with water",60mL,65,20,85,1,3,0,,1,0.2,tr,9,0.1,271,15,2,11,tr,,,
"Gravy, chicken, canned",60mL,60,48,199,1,3,tr,,3,0.9,1,12,0.3,348,66,1,18,1,,,
"Gravy, chicken, dehydrated, prepared with water",60mL,66,22,93,1,4,0,,1,0.2,1,10,0.1,244,24,3,15,2,,,
"Gravy, turkey, canned",60mL,61,31,130,2,3,tr,,1,0.4,1,2,0.4,353,67,1,18,0,,,
"Gravy, unspecified, dehydrated, prepared with water",60mL,66,22,91,1,4,0,,1,0.2,tr,11,0.1,362,16,3,13,0,,,
"Sauce, barbecue",15mL,16,12,50,tr,2,4,,tr,tr,0,3,0.1,129,28,3,3,tr,,,
"Sauce, cheese, dehydrated, prepared with 2% milk",60mL,71,81,337,5,7,6,,4,2.1,11,163,0.1,445,158,12,127,45,,,
"Sauce, cranberry, canned, sweetened",60mL,70,106,443,tr,27,27,,tr,tr,0,3,0.2,20,18,2,4,1,,,
"Sauce, nacho cheese, ready-to-serve",60mL,64,121,505,5,3,0,,10,4.3,20,120,0.2,499,20,6,107,66,,,
"Sauce, soy",15mL,18,7,30,tr,1,tr,,tr,tr,0,1,0.3,1038,28,1,17,0,,,
"Sauce, steak (HPTM, A1TM)",15mL,15,9,39,tr,2,,,tr,tr,0,4,0.2,218,60,2,6,7,,,
"Sauce, sweet and sour",15mL,17,20,85,tr,4,3,,tr,0.1,0,3,0.1,59,11,1,2,1,,,
"Sauce, teriyaki",15mL,18,15,64,1,3,2,,0,0,0,5,0.3,700,41,11,28,0,,,
"Sauce, white, medium, homemade with 2% milk",60mL,61,89,374,2,6,3,,6,1.7,4,72,0.2,215,95,9,60,55,,,
