Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Wine, table, white",125mL,125,85,354,tr,1,1,0,0,0,0,11,0.4,6,100,12,17,0,0,12,0
,,,,,,,,,,,,,,,,,,,,,
"BREADS, CEREALS AND OTHER GRAIN PRODUCTS",,,,,,,,,,,,,,,,,,,,,
FLOURS AND BRANS,,,,,,,,,,,,,,,,,,,,,
Chickpea flour,125mL,49,188,786,11,28,5,5.2,3,0.3,0,22,2.4,31,411,81,155,,,,
"Cornmeal, dry",125mL,73,267,1116,6,57,1,5.4,1,0.2,0,4,0.8,2,118,29,61,,,,
"Oat bran, dry",125mL,50,122,511,9,33,1,5.2,3,0.7,0,29,2.7,2,281,117,365,,,,
"Oat flakes, dry",125mL,53,200,838,7,35,1,5.3,4,0.7,0,27,2.2,2,199,78,226,,,,
Potato flour,125mL,85,302,1262,6,70,3,0.1,tr,0.1,0,55,1.2,46,846,55,142,,,,
Rice flour,125mL,83,305,1278,5,67,tr,2,1,0.3,0,8,0.3,0,63,29,82,,,,
"Rye flour, light",125mL,54,198,827,5,43,1,7.9,1,0.1,0,11,1,1,126,38,105,,,,
Soy flour,125mL,53,174,729,25,20,11,9.2,1,0.1,0,127,4.9,11,1259,153,356,,,,
Wheat bran,15mL,4,8,33,1,2,tr,1.6,tr,tr,0,3,0.4,tr,43,22,37,,,,
"Wheat flour, all purpose",125mL,66,240,1005,7,50,tr,2,1,0.1,0,10,3.1,1,71,15,71,,,,
"Wheat flour, bread",125mL,72,261,1093,9,52,tr,1.7,1,0.2,0,11,3.2,1,72,18,70,,,,
"Wheat flour, cake",125mL,72,262,1096,6,56,tr,1.2,1,0.1,0,10,5.3,1,76,12,62,,,,
"Wheat flour, whole grain",125mL,63,215,899,9,46,tr,7.7,1,0.2,0,22,2.5,3,257,87,219,,,,
"Wheat germ, toasted",15mL,7,27,114,2,4,1,1.1,1,0.1,0,3,0.7,tr,68,23,82,,,,
BREADS AND BUNS,,,,,,,,,,,,,,,,,,,,,
"Bagel, plain (10cm diam)",1,71,195,817,7,38,4,1.6,1,0.2,0,53,2.5,379,72,21,68,,,,
Bannock,1 medium,37,84,353,2,19,,0.5,tr,0,1,84,0.7,,,,60,,,,
"Bread, French or Vienna",1 slice,35,96,401,3,18,tr,1.1,1,0.2,0,26,0.9,213,40,9,37,,,,
"Bread, Italian",1 slice,35,95,397,3,18,tr,0.9,1,0.3,0,27,1,204,39,9,36,,,,
"Bread, mixed-grain",1 slice,35,88,366,4,16,4,2.2,1,0.3,0,32,1.2,170,71,19,62,,,,
"Bread, naan",  1/2 ,63,192,803,7,36,2,1.4,2,0.8,3,78,2.3,208,115,16,89,,,,
"Bread, oatmeal",1 slice,35,94,394,3,17,3,1.4,2,0.2,0,23,0.9,210,50,13,44,,,,
"Bread, pita, white (17cm diam)",1,60,165,690,5,33,1,1.3,1,0.1,0,52,1.6,322,72,16,58,,,,
"Bread, pita, whole wheat (17cm diam)",1,64,170,712,6,35,1,4.7,2,0.3,0,10,2,340,109,44,115,,,,
"Bread, pumpernickel",1 slice,35,88,366,3,17,tr,2.3,1,0.2,0,24,1,235,73,19,62,,,,
